Nazwa;Ludność;Powierzchnia
Powiat przemyski;71131;1211
Powiat przeworski;75739;698
Powiat ropczycko-sędziszowski;74027;548
Powiat rzeszowski;175777;1145
Powiat sanocki;89743;1156
Powiat stalowowolski;100891;832
Powiat strzyżowski;59201;503
Powiat tarnobrzeski;50935;521
Powiat leski;25397;835
Powiat m. Krosno;44060;45
Powiat m. Przemyśl;56050;46
Powiat m. Rzeszów;197268;129
Powiat m. Tarnobrzeg;43712;85
Powiat augustowski;54449;1659
Powiat białostocki;157896;2977
Powiat bielski;50596;1385
Powiat grajewski;44222;967
Powiat hajnowski;38817;1624
Powiat kolneński;35702;940
Powiat łomżyński;49608;1355
Powiat moniecki;37358;1382
Powiat sejneński;18645;855
Powiat siemiatycki;40636;1459
Powiat sokólski;61246;2054
Powiat suwalski;34635;1307
Powiat wysokomazowiecki;53406;1289
Powiat zambrowski;41370;733
Powiat m. Białystok;291688;102
Powiat m. Łomża;59711;33
Powiat m. Suwałki;68231;66
Powiat bytowski;76502;2192
Powiat chojnicki;96024;1364
Powiat człuchowski;53135;1575
Powiat gdański;131728;794
Powiat kartuski;153813;1120
Powiat kościerski;72202;1166
Powiat kwidzyński;80146;835
Powiat lęborski;63677;708
Powiat malborski;60647;494
Powiat nowodworski;33626;914
Powiat pucki;91664;868
Powiat słupski;96293;2300
Powiat starogardzki;125125;1346
Powiat tczewski;111237;697
Powiat wejherowski;229446;1288
Powiat sztumski;38341;731
Powiat m. Gdańsk;487371;683
Powiat m. Gdynia;241189;391
Powiat m. Słupsk;85504;53
Powiat m. Sopot;31903;28
Powiat będziński;144685;364
Powiat bielski;165824;458
Powiat cieszyński;174794;730
Powiat częstochowski;131569;1522
Powiat gliwicki;113180;665
Powiat kłobucki;81964;889
Powiat lubliniecki;74887;822
Powiat mikołowski;100002;233
Powiat myszkowski;67573;479
Powiat pszczyński;110777;471
Powiat raciborski;99332;544
Powiat rybnicki;76666;224
Powiat tarnogórski;139160;644
Powiat bieruńsko-lędziński;59443;158
Powiat wodzisławski;150269;287
Powiat zawierciański;111628;1004
